name,category,evolution_stage,rarity,description,image_url
Arcanine - Base,Fire,2,Uncommon,"Evolves from: Growlithe

Attack (Fire + Fire + Colorless) - Flamethrower: 50 damage. Discard 1 Fire Energy card attached to Arcanine in order to use this attack.

Attack (Fire + Fire + Colorless + Colorless) - Take Down: 80 damage. Arcanine does 30 damage to itself.

Flavor: A Pokémon that has been long admired for its beauty. It runs gracefully, as if on wings.",https://images.pokemontcg.io/base1/23.png
Charmeleon - Base,Fire,2,Uncommon,"Evolves from: Charmander

Attack (Colorless + Colorless + Colorless) - Slash: 30 damage. 

Attack (Fire + Fire + Colorless) - Flamethrower: 50 damage. Discard 1 Fire Energy card attached to Charmeleon in order to use this attack.

Evolves into: Charizard

Flavor: When it swings its burning tail, it raises the temperature to unbearably high levels.",https://images.pokemontcg.io/base1/24.png
Dewgong - Base,Water,2,Uncommon,"Evolves from: Seel

Attack (Water + Water + Colorless) - Aurora Beam: 50 damage. 

Attack (Water + Water + Colorless + Colorless) - Ice Beam: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Flavor: Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.",https://images.pokemontcg.io/base1/25.png
Dratini - Base,Colorless,1,Uncommon,"Attack (Colorless) - Pound: 10 damage. 

Evolves into: Dragonair

Flavor: Long considered a mythical Pokémon until recently, when a small colony was found living underwater.",https://images.pokemontcg.io/base1/26.png
Farfetch'd - Base,Colorless,1,Uncommon,"Attack (Colorless) - Leek Slap: 30 damage. Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Farfetch'd stays in play (even putting Farfetch'd on the Bench won't let you use it again).

Attack (Colorless + Colorless + Colorless) - Pot Smash: 30 damage. 

Evolves into: Sirfetch'd

Flavor: The sprig of green onions it holds is its weapon. This sprig is used much like a metal sword.",https://images.pokemontcg.io/base1/27.png
Growlithe - Base,Fire,1,Uncommon,"Attack (Fire + Colorless) - Flare: 20 damage. 

Evolves into: Arcanine

Flavor: Very protective of its territory. It will bark and bite to repel intruders from its space.",https://images.pokemontcg.io/base1/28.png
Haunter - Base,Psychic,2,Uncommon,"Evolves from: Gastly

Attack (Psychic) - Hypnosis: The Defending Pokémon is now Asleep.

Attack (Psychic + Psychic) - Dream Eater: 50 damage. You can't use this attack unless the Defending Pokémon is Asleep.

Evolves into: Gengar

Flavor: Because of its ability to slip through block walls, it is said to be from another dimension.",https://images.pokemontcg.io/base1/29.png
Ivysaur - Base,Grass,2,Uncommon,"Evolves from: Bulbasaur

Attack (Grass + Colorless + Colorless) - Vine Whip: 30 damage. 

Attack (Grass + Grass + Grass) - Poisonpowder: 20 damage. The Defending Pokémon is now Poisoned.

Evolves into: Venusaur

Flavor: When the bulb on its back grows large, the Pokémon seems to lose the ability to stand on its hind legs.",https://images.pokemontcg.io/base1/30.png
Jynx - Base,Psychic,1,Uncommon,"Attack (Psychic) - Doubleslap: 10× damage. Flip 2 coins. This attack does 10 damage times the number of heads.

Attack (Psychic + Psychic + Colorless) - Meditate: 20+ damage. Does 20 damage plus 10 more damage for each damage counter on the Defending Pokémon.

Flavor: Merely by meditating, the Pokémon launches a powerful psychic energy attack.",https://images.pokemontcg.io/base1/31.png
Kadabra - Base,Psychic,2,Uncommon,"Evolves from: Abra

Attack (Psychic + Psychic) - Recover: Discard 1 Psychic Energy card attached to Kadabra in order to use this attack. Remove all damage counters from Kadabra.

Attack (Psychic + Psychic + Colorless) - Super Psy: 50 damage. 

Evolves into: Alakazam

Flavor: It emits special alpha waves from its body that induce headaches even to those just nearby.",https://images.pokemontcg.io/base1/32.png
Kakuna - Base,Grass,2,Uncommon,"Evolves from: Weedle

Attack (Colorless + Colorless) - Stiffen: Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. (Any other effects of attacks still happen.)

Attack (Grass + Grass) - Poisonpowder: 20 damage. Flip a coin. If heads, the Defending Pokémon is now Poisoned.

Evolves into: Beedrill

Flavor: Almost incapable of moving, this Pokémon can only harden its shell to protect itself from predators.",https://images.pokemontcg.io/base1/33.png
Machoke - Base,Fighting,2,Uncommon,"Evolves from: Machop

Attack (Fighting + Fighting + Colorless) - Karate Chop: 50- damage. Does 50 damage minus 10 damage for each damage counter on Machoke.

Attack (Fighting + Fighting + Colorless + Colorless) - Submission: 60 damage. Machoke does 20 damage to itself.

Evolves into: Machamp

Flavor: Its muscular body is so powerful that it must wear a power-save belt to help regulate its motions.",https://images.pokemontcg.io/base1/34.png
Magikarp - Base,Water,1,Uncommon,"Attack (Colorless) - Tackle: 10 damage. 

Attack (Water) - Flail: 10× damage. Does 10 damage times the number of damage counters on Magikarp.

Evolves into: Gyarados

Flavor: In the distant past, it was stronger than its horribly weak descendants that exist today.",https://images.pokemontcg.io/base1/35.png
Magmar - Base,Fire,1,Uncommon,"Attack (Fire + Fire) - Fire Punch: 30 damage. 

Attack (Fire + Fire + Colorless) - Flamethrower: 50 damage. Discard 1 Fire Energy card attached to Magmar in order to use this attack.

Evolves into: Magmortar

Flavor: Its body always burns with an orange glow that enables it to hide perfectly among flames.",https://images.pokemontcg.io/base1/36.png
Nidorino - Base,Grass,2,Uncommon,"Evolves from: Nidoran ♂

Attack (Grass + Colorless + Colorless) - Double Kick: 30× damage. Flip 2 coins. This attack does 30 damage times the number of heads.

Attack (Grass + Grass + Colorless + Colorless) - Horn Drill: 50 damage. 

Evolves into: Nidoking

Flavor: An aggressive Pokémon that is quick to attack. The horn on its head secretes a powerful venom.",https://images.pokemontcg.io/base1/37.png
Poliwhirl - Base,Water,2,Uncommon,"Evolves from: Poliwag

Attack (Water + Water) - Amnesia: Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.

Attack (Water + Water + Colorless) - Doubleslap: 30× damage. Flip 2 coins. This attack does 30 damage times the number of heads.

Evolves into: Poliwrath, Politoed

Flavor: Capable of living in or out of water. When out of water, it sweats to keep its body slimy.",https://images.pokemontcg.io/base1/38.png
Porygon - Base,Colorless,1,Uncommon,"Attack (Colorless) - Conversion 1: If the Defending Pokémon has a Weakness, you may change it to a type of your choice other than Colorless.

Attack (Colorless + Colorless) - Conversion 2: Change Porygon's Resistance to a type of your choice other than Colorless.

Evolves into: Porygon2

Flavor: A Pokémon that consists entirely of programming code. Capable of moving freely in cyberspace.",https://images.pokemontcg.io/base1/39.png
Raticate - Base,Colorless,2,Uncommon,"Evolves from: Rattata

Attack (Colorless) - Bite: 20 damage. 

Attack (Colorless + Colorless + Colorless) - Super Fang: Does damage to the Defending Pokémon equal to half the Defending Pokémon's remaining HP (rounded up to the nearest 10).

Flavor: It uses its whiskers to maintain its balance. It seems to slow down if they are cut off.",https://images.pokemontcg.io/base1/40.png
Seel - Base,Water,1,Uncommon,"Attack (Water) - Headbutt: 10 damage. 

Evolves into: Dewgong

Flavor: The protruding horn on its head is very hard. This horn is used for bashing through thick ice.",https://images.pokemontcg.io/base1/41.png
Wartortle - Base,Water,2,Uncommon,"Evolves from: Squirtle

Attack (Water + Colorless) - Withdraw: Flip a coin. If heads, prevent all damage done to Wartortle during your opponent's next turn. (Any other effects of attacks still happen.)

Attack (Water + Colorless + Colorless) - Bite: 40 damage. 

Evolves into: Blastoise

Flavor: Often hides in water to stalk unweary prey. When swimming quickly, it moves its ears to maintain balance.",https://images.pokemontcg.io/base1/42.png
Abra - Base,Psychic,1,Common,"Attack (Psychic) - Psyshock: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Evolves into: Kadabra

Flavor: Using its ability to read minds, it will identify impending danger and teleport to safety.",https://images.pokemontcg.io/base1/43.png
Bulbasaur - Base,Grass,1,Common,"Attack (Grass + Grass) - Leech Seed: 20 damage. Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur.

Evolves into: Ivysaur

Flavor: A strange seed was planted on its back at birth. Thus, a plant sprouted and now grows with this Pokémon.",https://images.pokemontcg.io/base1/44.png
Caterpie - Base,Grass,1,Common,"Attack (Grass) - String Shot: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Evolves into: Metapod

Flavor: Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.",https://images.pokemontcg.io/base1/45.png
Charmander - Base,Fire,1,Common,"Attack (Colorless) - Scratch: 10 damage. 

Attack (Fire + Colorless) - Ember: 30 damage. Discard 1 Fire Energy card attached to Charmander in order to use this attack.

Evolves into: Charmeleon

Flavor: Obviously prefers hot places. If it gets caught in the rain, steam is said to spout from the tip of its tail.",https://images.pokemontcg.io/base1/46.png
Diglett - Base,Fighting,1,Common,"Attack (Fighting) - Dig: 10 damage. 

Attack (Fighting + Fighting) - Mud Slap: 30 damage. 

Evolves into: Dugtrio

Flavor: Lives about three feet underground, where it feeds on plant roots. It sometimes appears above ground.",https://images.pokemontcg.io/base1/47.png
Doduo - Base,Colorless,1,Common,"Attack (Colorless) - Fury Attack: 10× damage. Flip 2 coins. This attack does 10 damage times the number of heads.

Evolves into: Dodrio

Flavor: A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.",https://images.pokemontcg.io/base1/48.png
Drowzee - Base,Psychic,1,Common,"Attack (Colorless) - Pound: 10 damage. 

Attack (Psychic + Psychic) - Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Confused.

Evolves into: Hypno

Flavor: Puts enemies to sleep, then eats their dreams. Occasionally gets sick from eating bad dreams.",https://images.pokemontcg.io/base1/49.png
Gastly - Base,Psychic,1,Common,"Attack (Psychic) - Sleeping Gas: Flip a coin. If heads, the Defending Pokémon is now Asleep.

Attack (Psychic + Colorless) - Destiny Bond: Discard 1 Psychic Energy card attached to Gastly in order to use this attack. If a Pokémon Knocks Out Gastly during your opponent's next turn, Knock Out that Pokémon.

Evolves into: Haunter

Flavor: Almost invisible, this gaseous Pokémon cloaks the target and puts it to sleep without notice.",https://images.pokemontcg.io/base1/50.png
Koffing - Base,Grass,1,Common,"Attack (Grass + Grass) - Foul Gas: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Poisoned; if tails, it is now Confused.

Evolves into: Weezing

Flavor: Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning.",https://images.pokemontcg.io/base1/51.png
Machop - Base,Fighting,1,Common,"Attack (Fighting) - Low Kick: 20 damage. 

Evolves into: Machoke

Flavor: Loves to build its muscles. It trains in all styles of martial arts to become even stronger.",https://images.pokemontcg.io/base1/52.png
Magnemite - Base,Lightning,1,Common,"Attack (Lightning) - Thunder Wave: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Attack (Lightning + Colorless) - Selfdestruct: 40 damage. Does 10 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magnemite does 40 damage to itself.

Evolves into: Magneton

Flavor: Uses anti-gravity to stay suspended. Appears without warning and uses attacks like Thunder Wave.",https://images.pokemontcg.io/base1/53.png
Metapod - Base,Grass,2,Common,"Evolves from: Caterpie

Attack (Colorless + Colorless) - Stiffen: Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. (Any other effects of attacks still happen.)

Attack (Grass + Grass) - Stun Spore: 20 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Evolves into: Butterfree

Flavor: It is vulnerable to attack because its shell is soft, exposing its weak and tender body.",https://images.pokemontcg.io/base1/54.png
Nidoran ♂ - Base,Grass,1,Common,"Attack (Grass) - Horn Hazard: 30 damage. Flip a coin. If tails, this attack does nothing.

Evolves into: Nidorino

Flavor: Stiffens its ears to sense danger. The larger, more powerful of its horns secretes venom.",https://images.pokemontcg.io/base1/55.png
Onix - Base,Fighting,1,Common,"Attack (Fighting) - Rock Throw: 10 damage. 

Attack (Fighting + Fighting) - Harden: During your opponent's next turn, whenever 30 or less damage is done to Onix (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.)

Evolves into: Steelix

Flavor: As it grows, the stone portions of its body harden to become similar to a diamond, though colored black.",https://images.pokemontcg.io/base1/56.png
Pidgey - Base,Colorless,1,Common,"Attack (Colorless + Colorless) - Whirlwind: 10 damage. If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)

Evolves into: Pidgeotto

Flavor: A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.",https://images.pokemontcg.io/base1/57.png
Pikachu - Base,Lightning,1,Common,"Attack (Colorless) - Gnaw: 10 damage. 

Attack (Lightning + Colorless) - Thunder Jolt: 30 damage. Flip a coin. If tails, Pikachu does 10 damage to itself.

Evolves into: Raichu

Flavor: When several of these Pokémon gather, their electricity can cause lightning storms.",https://images.pokemontcg.io/base1/58.png
Poliwag - Base,Water,1,Common,"Attack (Water) - Water Gun: 10+ damage. Does 10 damage plus 10 more damage for each Water Energy attached to Poliwag but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd don't count.

Evolves into: Poliwhirl

Flavor: Its newly grown legs prevent it from running. It appears to prefer swimming over trying to stand.",https://images.pokemontcg.io/base1/59.png
Ponyta - Base,Fire,1,Common,"Attack (Colorless + Colorless) - Smash Kick: 20 damage. 

Attack (Fire + Fire) - Flame Tail: 30 damage. 

Evolves into: Rapidash

Flavor: Its hooves are 10 times harder than diamonds. It can trample anything flat in moments.",https://images.pokemontcg.io/base1/60.png
Rattata - Base,Colorless,1,Common,"Attack (Colorless) - Bite: 20 damage. 

Evolves into: Raticate

Flavor: Bites anything when it attacks. Small and very quick, it is a common sight in many places.",https://images.pokemontcg.io/base1/61.png
Sandshrew - Base,Fighting,1,Common,"Attack (Fighting) - Sand-attack: 10 damage. If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.

Evolves into: Sandslash

Flavor: Burrows deep underground in arid locations far from water. It only emerges to hunt for food.",https://images.pokemontcg.io/base1/62.png
Squirtle - Base,Water,1,Common,"Attack (Water) - Bubble: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Attack (Water + Colorless) - Withdraw: Flip a coin. If heads, prevent all damage done to Squirtle during your opponent's next turn. (Any other effects of attacks still happen.)

Evolves into: Wartortle

Flavor: After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth.",https://images.pokemontcg.io/base1/63.png
Starmie - Base,Water,2,Common,"Evolves from: Staryu

Attack (Water + Water) - Recover: Discard 1 Water Energy card attached to Starmie in order to use this attack. Remove all damage counters from Starmie.

Attack (Water + Colorless + Colorless) - Star Freeze: 20 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Flavor: Its central core glows with the seven colors of the rainbow. Some people value this core as a gem.",https://images.pokemontcg.io/base1/64.png
Staryu - Base,Water,1,Common,"Attack (Water) - Slap: 20 damage. 

Evolves into: Starmie

Flavor: An enigmatic Pokémon that can effortlessly regenerate any appendage it loses in battle.",https://images.pokemontcg.io/base1/65.png
Tangela - Base,Grass,1,Common,"Attack (Grass + Colorless) - Bind: 20 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Attack (Grass + Grass + Grass) - Poisonpowder: 20 damage. The Defending Pokémon is now Poisoned.

Evolves into: Tangrowth

Flavor: Its whole body is swathed with wide vines that are similar to seaweed. These vines shake as it walks.",https://images.pokemontcg.io/base1/66.png
Voltorb - Base,Lightning,1,Common,"Attack (Colorless) - Tackle: 10 damage. 

Evolves into: Electrode

Flavor: Usually found in power plants. Easily mistaken for a Monster Ball, it has zapped many people.",https://images.pokemontcg.io/base1/67.png
Vulpix - Base,Fire,1,Common,"Attack (Fire + Fire) - Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Confused.

Evolves into: Ninetales

Flavor: At the time of birth, it has just one tail. Its tail splits from the tip as it grows older.",https://images.pokemontcg.io/base1/68.png
Weedle - Base,Grass,1,Common,"Attack (Grass) - Poison Sting: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Poisoned.

Evolves into: Kakuna

Flavor: Often found in forests, eating leaves. It has a sharp, venomous stinger on its head.",https://images.pokemontcg.io/base1/69.png
Clefable - Jungle,Colorless,2,Rare Holo,"Evolves from: Clefairy

Attack (Colorless) - Metronome: Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)

Attack (Colorless + Colorless) - Minimize: All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).

Flavor: A timid Fairy Pokémon that is rarely seen. It will run and hide the moment it senses people.",https://images.pokemontcg.io/base2/1.png
Electrode - Jungle,Lightning,2,Rare Holo,"Evolves from: Voltorb

Attack (Colorless + Colorless) - Tackle: 20 damage. 

Attack (Lightning + Lightning + Lightning) - Chain Lightning: 20 damage. If the Defending Pokémon isn't Colorless, this attack does 10 damage to each Benched Pokémon of the same type as the Defending Pokémon (including your own).

Flavor: It stores electrical energy under very high pressure. It often explodes with little or no provocation.",https://images.pokemontcg.io/base2/2.png
